fnummer,personstatus,fornavn,etternavn,kjoenn,foedselsdato,postnummer
23929097130,BOSATT,Mett,Del,MANN,1990-12-23,6674
24810247963,BOSATT,Lei,Boom,MANN,1902-01-24,1433
24810299807,BOSATT,Proaktiv,Bursdag,KVINNE,2002-01-24,4021
24814398451,BOSATT,Tørst,Fetter,KVINNE,1943-01-24,4460
24815997006,BOSATT,Fryktløs,Vifte,KVINNE,1959-01-24,0257
24831498559,BOSATT,Dyktig,Bokorm,MANN,2014-03-24,3652
24836596842,BOSATT,Klar,Kråkesølv,KVINNE,1965-03-24,7657
24840249278,BOSATT,Trossig,Muffins,KVINNE,1902-04-24,9055
24846598681,BOSATT,Akademisk,Flyttelass,KVINNE,1965-04-24,0475
24847598790,BOSATT,Urokkelig,Kutte,MANN,1975-04-24,6770
24855897640,BOSATT,Lilla,Aristokrat,KVINNE,1958-05-24,1407
24861649330,BOSATT,Human,Inntekt,MANN,1916-06-24,1475
24865597335,BOSATT,Rusten,Presentasjon,MANN,1955-06-24,2827
24866698682,BOSATT,Ulik,Snøball,KVINNE,1966-06-24,4250
24866999186,BOSATT,Gylden,Due,MANN,1969-06-24,3470
24867098271,BOSATT,Uklar,Time,KVINNE,1970-06-24,6630
24869099364,BOSATT,Firkantet,Serviett,MANN,1990-06-24,1165
24869099526,BOSATT,Horisontal,Fisk,MANN,1990-06-24,4460
24870848036,BOSATT,Ulydig,Sol,KVINNE,1908-07-24,6630
24871448686,BOSATT,Nødvendig,Naut,KVINNE,1914-07-24,2070
24878198553,BOSATT,Deilig,Damesykkel,MANN,1981-07-24,7051
24880748005,BOSATT,Fornøyd,Lunsj,KVINNE,1907-08-24,5107
24880749575,BOSATT,Oksydert,Miljøgift,MANN,1907-08-24,2383
24881049739,BOSATT,Algerisk,Test,MANN,1910-08-24,1165
24884596846,BOSATT,Djerv,Struktur,KVINNE,1945-08-24,4307
24885397030,BOSATT,Oppblåst,Ape,KVINNE,1953-08-24,7760
24886897215,BOSATT,Konservativ,Konjakk,KVINNE,1968-08-24,3660
24887696418,BOSATT,Effektiv,Trafikkork,KVINNE,1976-08-24,6600
24900849423,BOSATT,Fantasiløs,Bolle,KVINNE,1908-10-24,3225
24900949878,BOSATT,Utørst,Tirsdag,KVINNE,1909-10-24,3179
24902149534,BOSATT,Opplagt,Kongress,MANN,1921-10-24,2634
24910947857,BOSATT,Konservativ,Fordypning,KVINNE,1909-11-24,4070
24916496385,BOSATT,Økologisk,Arbeidsstyrke,MANN,1964-11-24,4150
24917899505,BOSATT,Troverdig,Bu,MANN,1978-11-24,2770
24920548071,BOSATT,Geometrisk,Fallskjerm,KVINNE,1905-12-24,3039
24929297020,BOSATT,Smul,Bagasjetralle,KVINNE,1992-12-24,1415
25820248352,BOSATT,Tilbakeholden,Kilometer,MANN,1902-02-25,0166
25827498729,BOSATT,Lystig,Bjørkefink,MANN,1974-02-25,2010
25834598240,BOSATT,Firkantet,Gyngehest,KVINNE,1945-03-25,0779
25840749544,BOSATT,Underfundig,Film,MANN,1907-04-25,8523
25846599838,BOSATT,Kvart,Fattigmann,KVINNE,1965-04-25,3512
25851249659,BOSATT,Ullen,Ramme,KVINNE,1912-05-25,4610
25870499909,BOSATT,Tørr,Fred,MANN,2004-07-25,1338
25876496316,BOSATT,Utørst,Bunad,MANN,1964-07-25,3474
25876996653,BOSATT,Verdifull,Bokorm,KVINNE,1969-07-25,3913
25877598619,BOSATT,Krass,Grønnfink,KVINNE,1975-07-25,4869
25877898167,BOSATT,Utstrakt,Klisjé,MANN,1978-07-25,2632
25891299985,BOSATT,Bløt,Handlingsevne,MANN,2012-09-25,1338
25891349397,BOSATT,Emosjonell,Svane,MANN,1913-09-25,2070
25895998101,BOSATT,Rastløs,Tannbørste,MANN,1959-09-25,1930
25900298415,BOSATT,Minst,Traktoregg,KVINNE,2002-10-25,5550
25901549357,BOSATT,Artig,Ananas,MANN,1915-10-25,4319
25906097306,BOSATT,Autorisert,Biologi,MANN,1960-10-25,5452
25911349739,BOSATT,Viktig,Varetekt,MANN,1913-11-25,4021
25914898180,BOSATT,Eksemplarisk,Innhegning,MANN,1948-11-25,0489
25920848144,BOSATT,Umusikalsk,Dykker,MANN,1908-12-25,4825
25927897442,BOSATT,Levende,Senator,KVINNE,1978-12-25,5627
25929397838,BOSATT,Genierklært,Årsplan,KVINNE,1993-12-25,0982
26810146884,BOSATT,Fornøyd,Altmuligmann,KVINNE,1901-01-26,4360
26811749965,BOSATT,Allsidig,Karaffel,MANN,1917-01-26,6060
26830248543,BOSATT,Løsningsorientert,Alderdom,MANN,1902-03-26,6968
26830449964,BOSATT,Initiativrik,Støtte,MANN,1904-03-26,7041
26836895060,BOSATT,Glad,Lyte,KVINNE,1968-03-26,1940
26841199781,BOSATT,Observant,Desimeter,MANN,2011-04-26,4707
26846797636,BOSATT,Demokratisk,Regel,KVINNE,1967-04-26,6628
26850997941,BOSATT,Lydig,Mandag,MANN,2009-05-26,2760
26855296062,BOSATT,Vaklende,Fallskjermhopper,KVINNE,1952-05-26,0567
26856399825,BOSATT,Sindig,Femkant,KVINNE,1963-05-26,1482
26856596558,BOSATT,Fattet,Abakus,MANN,1965-05-26,2022
26864996727,BOSATT,Salig,Halvmeter,MANN,1949-06-26,1470
26870148592,BOSATT,Uvitende,Kos,MANN,1901-07-26,5955
26876397128,BOSATT,Ansvarsfull,Matpakke,MANN,1963-07-26,1354
26877199125,BOSATT,Fullkommen,Pukkel,MANN,1971-07-26,6010
26877698679,BOSATT,Ordentlig,Fotosyntese,KVINNE,1976-07-26,1394
26881747641,BOSATT,Rakrygget,Allianse,KVINNE,1917-08-26,1605
26886398416,BOSATT,Uglesett,Nøtt,KVINNE,1963-08-26,4828
26891349326,BOSATT,Svær,Frase,MANN,1913-09-26,8664
26896596941,BOSATT,Kulturell,Nøkkel,MANN,1965-09-26,2683
26901748534,BOSATT,Overnaturlig,Hullemaskin,MANN,1917-10-26,4327
26901949874,BOSATT,Motstandsdyktig,Kål,KVINNE,1919-10-26,6060
26904397775,BOSATT,Ufølsom,Fjording,MANN,1943-10-26,1413
26915699404,BOSATT,Blaut,Ingeniør,KVINNE,1956-11-26,3697
26917296692,BOSATT,Korrekt,Mil,KVINNE,1972-11-26,5224
26921297245,BOSATT,Uromantisk,Treff,KVINNE,2012-12-26,3652
26926697330,BOSATT,Horisontal,Oppvaskmaskin,MANN,1966-12-26,5981
26927999837,BOSATT,Standhaftig,Pokal,KVINNE,1979-12-26,4373
26928098841,BOSATT,Uvitende,Harmoni,KVINNE,1980-12-26,9513
27810549772,BOSATT,Selvhjulpen,System,MANN,1905-01-27,4790
27820146722,BOSATT,Uinspirert,Barista,MANN,1901-02-27,4360
27830649935,BOSATT,Uselvstendig,Ambassadesekretær,MANN,1906-03-27,3629
27832848625,UTFLYTTET,Slakk,Skade,KVINNE,1928-03-27,5462
27837098047,BOSATT,Komisk,Kile,KVINNE,1970-03-27,5981
27837498525,BOSATT,Snill,Kjeks,MANN,1974-03-27,3041
27840598891,BOSATT,Sikker,Natthegre,KVINNE,2005-04-27,0258
27847399126,BOSATT,Ren,Politibil,MANN,1973-04-27,9925
27850248643,BOSATT,Utholden,Admiral,KVINNE,1902-05-27,1281
27864498863,BOSATT,Storartet,Mammut,KVINNE,1944-06-27,2055
27865297632,BOSATT,Fysisk,Bart,KVINNE,1952-06-27,8700
27865397653,BOSATT,Maritim,Pokal,KVINNE,1953-06-27,1163
27870747824,BOSATT,Sped,Rødfotsule,KVINNE,1907-07-27,0655
27877295678,BOSATT,Bløt,Bensinstasjon,KVINNE,1972-07-27,2009
27880249830,BOSATT,Estetisk,Dunkjevle,KVINNE,1902-08-27,9911
27880548838,BOSATT,Operativ,Platina,KVINNE,1905-08-27,4641
27881299025,BOSATT,Observant,Dirk,KVINNE,2012-08-27,3740
27890549530,BOSATT,Kursiv,Kjedekollisjon,MANN,1905-09-27,2324
27891249697,BOSATT,Typisk,Æresgjest,KVINNE,1912-09-27,9055
27897198008,BOSATT,Opplagt,Jordsmonn,KVINNE,1971-09-27,6993
27897198512,BOSATT,Blaut,Himmel,MANN,1971-09-27,4513
27901949137,BOSATT,Skjønn,Ingrediens,MANN,1919-10-27,4387
27904796722,BOSATT,Sofistikert,Blanding,MANN,1947-10-27,6774
27909598813,BOSATT,Sunn,Detalj,KVINNE,1995-10-27,4250
27915498537,BOSATT,Alminnelig,Bror,MANN,1954-11-27,4355
27920749904,BOSATT,Gild,Pumpe,MANN,1907-12-27,2827
27928099674,BOSATT,Neste,Kork,KVINNE,1980-12-27,2843
27929699284,BOSATT,Verd,Igle,KVINNE,1996-12-27,4334
28810649803,BOSATT,Fattig,Solsikke,KVINNE,1906-01-28,4311
28813349088,BOSATT,Akseptabel,Blomsterplante,KVINNE,1933-01-28,5221
28815396768,BOSATT,Ustabil,Tiur,MANN,1953-01-28,6856
28836898267,BOSATT,Gratis,Glose,KVINNE,1968-03-28,5986
28838499629,BOSATT,Firkantet,Kjetting,KVINNE,1984-03-28,6710
28838899864,BOSATT,Autonom,Nettadresse,KVINNE,1988-03-28,9405
28845999033,BOSATT,Uinteressert,Måne,KVINNE,1959-04-28,5235
28856098119,BOSATT,Konsekvent,Dyrlege,MANN,1960-05-28,5984
28857997230,BOSATT,Oransje,Rygg,KVINNE,1979-05-28,0982
28858899097,BOSATT,Hyggelig,Fjellkjede,KVINNE,1988-05-28,9055
28865798611,BOSATT,Alfabetisk,Eng,KVINNE,1957-06-28,1940
28880549903,BOSATT,Familiær,Gran,MANN,1905-08-28,5244
28881748675,BOSATT,Fornøyd,Arkeolog,KVINNE,1917-08-28,4638
28885599615,BOSATT,Gjensidig,Boks,KVINNE,1955-08-28,3158
28891849208,BOSATT,Hurtig,Orientering,KVINNE,1918-09-28,1475
28892349160,BOSATT,Bra,Servitrise,MANN,1923-09-28,2322
28894098122,BOSATT,Sorgløs,Nakke,MANN,1940-09-28,1472
28898398864,BOSATT,Dynamisk,Syre,KVINNE,1983-09-28,4007
28901549364,BOSATT,Overeksponert,Matematiker,MANN,1915-10-28,4610
28905398808,BOSATT,Viljesterk,Havhest,KVINNE,1953-10-28,3042
28910349394,BOSATT,Trådløs,Innhegning,MANN,1903-11-28,8850
28910647840,BOSATT,Rettferdig,Løveflokk,KVINNE,1906-11-28,2870
28915498657,BOSATT,Løsningsorientert,Ketsjup,KVINNE,1954-11-28,4647
28921349655,BOSATT,Vis,Flaske,KVINNE,1913-12-28,3511
28923149246,BOSATT,Pragmatisk,Sitronsyre,KVINNE,1931-12-28,0957
29810149424,BOSATT,Pessimistisk,Statist,KVINNE,1901-01-29,5955
29814797889,BOSATT,Kjempende,Globus,KVINNE,1947-01-29,1430
29815495924,BOSATT,Overbevisende,Påkjenning,MANN,1954-01-29,7016
29815597794,BOSATT,Hes,Periode,MANN,1955-01-29,4828
29818499335,BOSATT,Styrbar,Vits,MANN,1984-01-29,6386
29836696334,BOSATT,Subjektiv,Bruk,MANN,1966-03-29,9445
29837097493,BOSATT,Muskuløs,Gulnebblom,KVINNE,1970-03-29,1630
29840849501,BOSATT,Ordknapp,Bakgrunnslitteratur,MANN,1908-04-29,3225
29846198340,BOSATT,Grei,Bursdag,MANN,1961-04-29,4280
29849698905,BOSATT,Tentativ,Formel,MANN,1996-04-29,2450
29851249433,BOSATT,Overbevisende,Mølle,KVINNE,1912-05-29,7120
29851549496,BOSATT,Skyfri,Hotellsuite,KVINNE,1915-05-29,2266
29852248759,BOSATT,Tapper,Galleri,MANN,1922-05-29,2008
29852948351,BOSATT,Logisk,Gluten,MANN,1929-05-29,1341
29875994660,BOSATT,Autentisk,Forkledning,KVINNE,1959-07-29,2316
29876997221,BOSATT,Jordnær,Knapp,KVINNE,1969-07-29,2647
29881547536,BOSATT,Sindig,Vannmann,MANN,1915-08-29,1680
29886797794,BOSATT,Hyggelig,Systrending,MANN,1967-08-29,3517
29890349224,BOSATT,Oppjaget,Kasjott,KVINNE,1903-09-29,3660
29905195768,BOSATT,Fiktiv,Fiskekrok,MANN,1951-10-29,7760
29905197507,BOSATT,Voksende,Innestemme,MANN,1951-10-29,6386
29906698666,BOSATT,Alvorlig,Tiur,KVINNE,1966-10-29,2022
29911648782,BOSATT,Livlig,Elv,MANN,1916-11-29,4322
29915297437,BOSATT,Sivilisert,Solbær,KVINNE,1952-11-29,5984
29916997572,BOSATT,Diskret,Vandrefalk,MANN,1969-11-29,5134
29918795748,BOSATT,Husløs,Synonym,MANN,1987-11-29,0676
29921248618,BOSATT,Vennlig,Band,KVINNE,1912-12-29,2164
29921299425,BOSATT,Allmektig,Oldefar,KVINNE,2012-12-29,6386
29922249863,BOSATT,Moderat,Førstemann,KVINNE,1922-12-29,3150
29924895908,BOSATT,Muskuløs,Omstilling,MANN,1948-12-29,1484
29924998138,BOSATT,Økonomisk,Alm,MANN,1949-12-29,0196
29926797954,BOSATT,Streng,Galleri,MANN,1967-12-29,4828
30810499873,BOSATT,Utakknemlig,Service,KVINNE,2004-01-30,6896
30811097655,BOSATT,Rastløs,Kost,KVINNE,2010-01-30,4737
30830748756,BOSATT,Lidenskapelig,Telegram,MANN,1907-03-30,1430
30834498568,BOSATT,Risikabel,Avdeling,MANN,1944-03-30,9440
30834696831,BOSATT,Redelig,Telefonkiosk,KVINNE,1946-03-30,1930
30840248670,BOSATT,Filosofisk,Tøffel,KVINNE,1902-04-30,2387
30846298815,BOSATT,Oppfarende,Fugl,KVINNE,1962-04-30,3237
30855098411,BOSATT,Utakknemlig,Vifte,KVINNE,1950-05-30,5032
30861199041,BOSATT,Minst,Detalj,KVINNE,2011-06-30,4460
30861549778,BOSATT,Oppgitt,Feber,MANN,1915-06-30,8475
30863249348,BOSATT,God,Kappe,MANN,1932-06-30,4956
30876297678,BOSATT,Barmhjertig,Avanse,KVINNE,1962-07-30,6390
30877999986,BOSATT,Moderne,Mutter,MANN,1979-07-30,2923
30885696577,BOSATT,Unøyaktig,Ellipse,MANN,1956-08-30,6104
30886299830,BOSATT,Slapp,Æresmedlem,KVINNE,1962-08-30,6896
30887197675,BOSATT,Minkende,Rytme,KVINNE,1971-08-30,2835
30891349463,BOSATT,Konge,Histolog,KVINNE,1913-09-30,8184
30900949630,BOSATT,Plutselig,Hieroglyf,KVINNE,1909-10-30,0568
30911299999,BOSATT,Sigen,Barista,MANN,2012-11-30,1784
31812048492,BOSATT,Fantasiløs,Badebukse,KVINNE,1920-01-31,3047
31816295737,BOSATT,Svimmel,Kafeteria,MANN,1962-01-31,5164
31817699084,BOSATT,Driftig,Konstruksjon,KVINNE,1976-01-31,7509
31817797337,BOSATT,Frisk,Søster,MANN,1977-01-31,2004
31836399830,BOSATT,Smal,Bokfink,KVINNE,1963-03-31,1738
31851748108,BOSATT,Ekstra,Seidel,MANN,1917-05-31,7690
31853648577,BOSATT,Kompetent,Ferd,MANN,1936-05-31,1152
31856399497,BOSATT,Umotivert,Øvelse,KVINNE,1963-05-31,0770
31856696130,BOSATT,Sosial,Opptaksprøve,MANN,1966-05-31,1672
31872949456,BOSATT,Neste,Avslutning,KVINNE,1929-07-31,3360
31875198109,BOSATT,Håndfast,Blindveg,MANN,1951-07-31,1163
31878599384,BOSATT,Ulogisk,Jordbruk,MANN,1985-07-31,3218
31885096762,BOSATT,Slem,Assistent,MANN,1950-08-31,1666
31885197658,BOSATT,Klartenkt,Høydedrag,KVINNE,1951-08-31,8514
31887194648,BOSATT,Gnien,Kunst,KVINNE,1971-08-31,2634
31906798150,BOSATT,Kjær,Test,MANN,1967-10-31,1177
31907296779,BOSATT,Usikker,Brøkdel,MANN,1972-10-31,4313
31921998999,BOSATT,Komisk,Restaurant,MANN,2019-12-31,3697
31925897925,BOSATT,Operativ,Munn,MANN,1958-12-31,3048
31926199423,BOSATT,Urolig,Aristokrat,KVINNE,1961-12-31,5073
31926199776,BOSATT,Hårsår,Bør,MANN,1961-12-31,1413
01810599134,BOSATT,Entusiastisk,Invitasjon,MANN,2005-10-08,5939
01815694380,BOSATT,Utstrakt,Einebær,MANN,1956-01-01,7044
01816299817,BOSATT,Personlig,Båt,KVINNE,1962-01-01,1920
01819697783,BOSATT,Dyr,Mutter,MANN,1996-01-01,2890
01822949807,BOSATT,Enkel,Skrivemaskin,KVINNE,1929-02-01,1404
01837699556,BOSATT,Ivrig,Våghals,MANN,1976-03-01,4737
01843348420,BOSATT,Akustisk,Hobby,KVINNE,1933-04-01,5519
01843848687,BOSATT,Konsentrisk,Sjeselong,KVINNE,1938-04-01,3058
01844697984,BOSATT,Flyktig,Hørsel,MANN,1946-04-01,4311
01852349871,BOSATT,Sensitiv,Gelatin,KVINNE,1923-05-01,1254
01853148993,BOSATT,Verdifull,Kopp,MANN,1931-05-01,5550
01853948779,BOSATT,Opprett,Takke,MANN,1939-05-01,6064
01854996467,BOSATT,Forståelsesfull,Stammor,KVINNE,1949-05-01,2022
01855498088,BOSATT,Kvadratisk,Planet,KVINNE,1954-05-01,3420
01857599949,BOSATT,Ærlig,Koloni,MANN,1975-05-01,1346
01860498975,BOSATT,Ultrafiolett,Foxtrot,MANN,2004-06-01,0788
01865296610,BOSATT,Realistisk,Busstopp,KVINNE,1952-06-01,3612
01865396127,BOSATT,Samarbeidsvillig,Ord,MANN,1953-06-01,1390
01868297812,BOSATT,Elektronisk,Lugg,KVINNE,1982-06-01,1475
01886698794,BOSATT,Uttrykksfull,Bakepulver,MANN,1966-08-01,3170
01887497644,BOSATT,Straffet,Asterisk,KVINNE,1974-08-01,4521
01896897256,BOSATT,Hemmelighetsfull,Gluten,KVINNE,1968-09-01,3931
01897197339,BOSATT,Kontant,Gaupe,MANN,1971-09-01,6017
01903149694,BOSATT,Pen,Gråhegre,KVINNE,1931-10-01,0576
01913248216,BOSATT,Alfabetisk,Bursdag,KVINNE,1932-11-01,4187
01916096433,BOSATT,Inkonsekvent,Senator,KVINNE,1960-11-01,2635
01926796107,BOSATT,Artig,Karaffel,MANN,1967-12-01,4264
02810349622,BOSATT,Sjelden,Jubel,KVINNE,1903-01-02,3811
02814499165,BOSATT,Hellig,Bakkerekord,MANN,1944-01-02,4580
02814996355,BOSATT,Juridisk,Kornsirkel,MANN,1949-01-02,1960
02816396215,BOSATT,Kjempende,Linjal,KVINNE,1963-01-02,5984
02818597188,BOSATT,Blaut,Brudekjole,MANN,1985-01-02,7059
02821399230,BOSATT,Uttrykksfull,Terskel,KVINNE,2013-02-02,8014
02827397965,BOSATT,Anstendig,Feltseng,MANN,1973-02-02,4724
02828699442,BOSATT,Fyldig,Granne,KVINNE,1986-02-02,0491
02828899131,BOSATT,Djerv,Merr,MANN,1988-02-02,4828
02836297906,BOSATT,Uselvstendig,Knute,MANN,1962-03-02,4870
02837699838,BOSATT,Fjång,Avslutningsfest,KVINNE,1976-03-02,6600
02841499665,BOSATT,Grå,Malstrøm,KVINNE,2014-04-02,3533
02844997542,BOSATT,Komfortabel,Interesse,MANN,1949-04-02,3580
02848699260,BOSATT,Aldrende,Lov,KVINNE,1986-04-02,5184
02850098940,BOSATT,Kompleks,Smaragd,MANN,2000-05-02,0576
02858899373,BOSATT,Mobil,Jukeboks,MANN,1988-05-02,7760
02866797547,BOSATT,Sist,Pike,MANN,1967-06-02,2209
02867199732,BOSATT,Ukjent,Torsdag,MANN,1971-06-02,5517
02868998752,BOSATT,Verdifull,Hunkatt,MANN,1989-06-02,1450
02887096816,BOSATT,Likegyldig,Fugl,KVINNE,1970-08-02,4110
02887998542,BOSATT,Motløs,Aktør,MANN,1979-08-02,3830
02889099324,BOSATT,Artig,Karnapp,MANN,1990-08-02,7760
02895299424,BOSATT,Fryktløs,Herre,KVINNE,1952-09-02,4355
02895396136,BOSATT,Naturlig,Fiber,MANN,1953-09-02,4836
02903449848,BOSATT,Fleksibel,Flyplass,KVINNE,1934-10-02,1390
02909499316,BOSATT,Halv,Bever,MANN,1994-10-02,3580
02914299252,BOSATT,Flyktig,Ørn,KVINNE,1942-11-02,9950
02918798032,BOSATT,Erfaren,Admiral,KVINNE,1987-11-02,3802
02922947883,BOSATT,Halv,Jerv,KVINNE,1929-12-02,4020
02925498761,BOSATT,Klar,Pendel,MANN,1954-12-02,7048
03810349904,BOSATT,Spesifikk,Hunkatt,MANN,1903-01-03,3811
03811498083,BOSATT,Ryddig,Lomme,KVINNE,2014-01-03,4460
03818499883,BOSATT,Lyselilla,Brann,KVINNE,1984-01-03,9192
03818898125,BOSATT,Plutselig,Såpe,MANN,1988-01-03,1390
03823249887,BOSATT,Akselererende,Aktivitet,KVINNE,1932-02-03,2634
03825099068,BOSATT,Usensuell,Ambassadesekretær,KVINNE,1950-02-03,3440
03827296685,BOSATT,Svimmel,Flod,KVINNE,1972-02-03,5305
03827899819,BOSATT,Usedvanlig,Frukthage,KVINNE,1978-02-03,0770
03835499293,BOSATT,Gretten,Tøffel,KVINNE,1954-03-03,3050
03837094975,BOSATT,Oksydert,Meny,MANN,1970-03-03,9024
03837095173,BOSATT,Melankolsk,Bil,MANN,1970-03-03,4560
03838698416,BOSATT,Gjestfri,Halvøy,KVINNE,1986-03-03,7760
03846095801,BOSATT,Usjenert,Fjell,KVINNE,1960-04-03,5517
03853549133,BOSATT,Maritim,Fart,MANN,1935-05-03,1461
03859998991,BOSATT,Motvillig,Form,MANN,1999-05-03,3725
03876296798,BOSATT,Frisk,Alkove,MANN,1962-07-03,0956
03885096637,BOSATT,Uselvstendig,Japp,KVINNE,1950-08-03,4311
03885696138,BOSATT,Tørr,Oppslutning,MANN,1956-08-03,1341
03886198859,BOSATT,Algerisk,Fallskjermhopper,KVINNE,1961-08-03,3579
03896197117,BOSATT,Upersonlig,Abonnent,MANN,1961-09-03,5008
03898298573,BOSATT,Minkende,Orm,MANN,1982-09-03,1743
03899098721,BOSATT,Kantete,Lekeplass,MANN,1990-09-03,7715
03902948383,BOSATT,Musikalsk,Oppskrift,MANN,1929-10-03,5984
03903546750,UTFLYTTET,Allslags,Magesekk,MANN,1935-10-03,1458
03905198091,BOSATT,Diskret,Båt,KVINNE,1951-10-03,6413
03907395528,BOSATT,Varm,Hei,MANN,1973-10-03,4014
03908798162,BOSATT,Oransje,Indrefilet,MANN,1987-10-03,3128
03911799463,BOSATT,Moralsk,Tone,KVINNE,2017-11-03,5073
03914598612,BOSATT,Hensynsløs,Reise,KVINNE,1945-11-03,8255
03915295974,BOSATT,Integrert,Kokeplate,MANN,1952-11-03,1430
03918898769,BOSATT,Allmektig,Avslutningsfest,MANN,1988-11-03,2040
03919698321,BOSATT,Betydelig,Brudekjole,MANN,1996-11-03,5770
03925299633,BOSATT,Firkantet,Agg,KVINNE,1952-12-03,6014
03926699201,BOSATT,Fleksibel,Bjørnebær,KVINNE,1966-12-03,3226
03928399639,BOSATT,Ungt,Mamma,KVINNE,1983-12-03,1920
04813548157,BOSATT,Allslags,Bunad,MANN,1935-01-04,7354
04814497122,BOSATT,Fredfull,Blanding,MANN,1944-01-04,9055
04816196413,BOSATT,Kvart,Edderkopp,KVINNE,1961-01-04,2060
04819699025,BOSATT,Sjokkert,Porsjon,KVINNE,1996-01-04,6640
04825298407,BOSATT,Kunnskapsrik,Heis,KVINNE,1952-02-04,1900
04825796229,BOSATT,Streng,Jord,KVINNE,1957-02-04,6610
04826497179,BOSATT,Allslags,Soloppgang,MANN,1964-02-04,1359
04827196431,BOSATT,Ring,Vare,KVINNE,1971-02-04,8360
04827598092,BOSATT,Engasjert,Bygd,KVINNE,1975-02-04,3011
04827697562,BOSATT,Redd,Frue,MANN,1976-02-04,9446
04828199264,BOSATT,Mobil,Påske,KVINNE,1981-02-04,8316
04835895799,BOSATT,Lyseblå,Påpakning,MANN,1958-03-04,6070
04838998165,BOSATT,Lyselilla,Lykke,MANN,1989-03-04,0568
04840198435,BOSATT,Sorgløs,Kvinne,KVINNE,2001-04-04,3170
04843049945,BOSATT,Usikker,Abakus,MANN,1930-04-04,1812
04849597316,BOSATT,Passiv,Seremoni,MANN,1995-04-04,8618
04850449681,BOSATT,Klartenkt,Jord,KVINNE,1904-05-04,8020
04852647901,BOSATT,Upersonlig,Skytte,MANN,1926-05-04,1165
04856095679,BOSATT,Initiativrik,Dromedar,KVINNE,1960-05-04,8540
04860798501,BOSATT,Geometrisk,Kløver,MANN,2007-06-04,2004
04862648795,BOSATT,Kontrollert,Pinnestol,MANN,1926-06-04,1661
04862849197,BOSATT,Historisk,Gallupmåling,MANN,1928-06-04,8215
04864597446,BOSATT,Bemerkelsesverdig,Handel,KVINNE,1945-06-04,1433
04873148204,BOSATT,Djerv,Heis,KVINNE,1931-07-04,3802
04874298862,BOSATT,Treg,Fyrstikk,KVINNE,1942-07-04,1626
04875696772,BOSATT,Elastisk,Tøffel,MANN,1956-07-04,6065
04875894027,BOSATT,Justerbar,Familie,KVINNE,1958-07-04,5059
04875894299,BOSATT,Opprett,Arm,KVINNE,1958-07-04,2420
04876599665,BOSATT,Taktfull,Lensmann,KVINNE,1965-07-04,4624
04879295403,BOSATT,Halv,Journalist,KVINNE,1992-07-04,1642
04884598643,BOSATT,Varsom,Traktoregg,KVINNE,1945-08-04,3803
04885498146,BOSATT,Rimelig,Galopp,MANN,1954-08-04,9055
04888399912,BOSATT,Viktig,Kost,MANN,1983-08-04,3611
04888899230,BOSATT,Svær,Lupe,KVINNE,1988-08-04,1446
04889099807,BOSATT,Eksakt,Hai,KVINNE,1990-08-04,3660
04889198015,BOSATT,Utgått,Bass,KVINNE,1991-08-04,2435
04908799076,BOSATT,Analyserende,Helt,KVINNE,1987-10-04,4460
04909298992,BOSATT,Teoretisk,Joker,MANN,1992-10-04,1383
04912649496,BOSATT,Halv,Fiskekrok,KVINNE,1926-11-04,3158
04914298356,BOSATT,Oksydert,Meter,MANN,1942-11-04,3189
04915995344,BOSATT,Prikkete,Hals,MANN,1959-11-04,3121
04917698738,BOSATT,Bløt,Kategori,MANN,1976-11-04,3090
04919198619,BOSATT,Fordekt,Grønnsisik,KVINNE,1991-11-04,5986
04920797968,BOSATT,Alternativ,Badmintonbane,MANN,2007-12-04,1430
04924897800,BOSATT,Streng,Konklusjon,KVINNE,1948-12-04,7760
04926198381,BOSATT,Oppjaget,Plyndring,MANN,1961-12-04,6993
05812349505,BOSATT,Akvatisk,Andakt,MANN,1923-01-05,3050
05812646097,BOSATT,Gratis,Pianokrakk,KVINNE,1926-01-05,2030
05816295760,BOSATT,Tapper,Vane,MANN,1962-01-05,1188
05819497283,BOSATT,Moderne,Jakke,KVINNE,1994-01-05,4308
05820999063,BOSATT,Hensynsløs,Boks,KVINNE,2009-02-05,9152
05829698937,BOSATT,Minst,Kartlegging,MANN,1996-02-05,6230
05831048125,BOSATT,Motvillig,Baron,MANN,1910-03-05,6963
05835197893,BOSATT,Upraktisk,Fløyte,KVINNE,1951-03-05,1163
05837499218,BOSATT,Hardhudet,Jernbane,KVINNE,1974-03-05,0568
05838098055,BOSATT,Voksende,Jungel,KVINNE,1980-03-05,7882
05839398540,BOSATT,Snål,Dugnad,MANN,1993-03-05,2662
05847696798,BOSATT,Forsiktig,Banke,MANN,1976-09-06,1940
05853648843,BOSATT,Morsom,Sebra,KVINNE,1936-05-05,1394
05855196141,BOSATT,Velkommen,Månerakett,MANN,1951-05-05,4724
05858598615,BOSATT,Rørete,Rist,KVINNE,1985-05-05,5986
05860149658,BOSATT,Vakker,Ærfugl,KVINNE,1901-06-05,3660
05863849901,BOSATT,Realistisk,Nisse,MANN,1938-06-05,8470
05865395037,BOSATT,Spennende,Jordbær,KVINNE,1953-06-05,3480
05876894256,BOSATT,Livstrett,Farfar,KVINNE,1968-07-05,2209
05886195275,BOSATT,Verdifull,Plassering,KVINNE,1961-08-05,3121
05887697118,BOSATT,Tilfeldig,Høyttaler,MANN,1976-08-05,3802
